Date,open,high,low,close,volume
4/13/2020,6903.79,6903.79,6575,6837.91,96415.47657
4/14/2020,6838.04,6978,6754.28,6868.7,69068.62329
4/15/2020,6868.57,6933,6605,6621.24,61571.38499
4/16/2020,6621.25,7190,6468.27,7101.94,125009.8575
4/17/2020,7101.99,7148.12,6972.98,7027.55,54126.50976
4/18/2020,7026.78,7293.08,7014.4,7248.6,49488.54282
4/19/2020,7248.6,7266.15,7055.6,7120.74,45664.86393
4/20/2020,7121.4,7220,6751,6826.83,90149.49137
4/21/2020,6828.98,6940,6762,6841.37,60109.71081
4/22/2020,6841.36,7156.38,6818,7125.14,61486.37733
4/23/2020,7125.12,7738,7020,7482.39,102773.5696
4/24/2020,7483.96,7615.96,7388,7505,60182.11994
4/25/2020,7505,7705,7431.07,7538.67,43874.42773
4/26/2020,7539.03,7700,7480,7693.1,50522.61621
4/27/2020,7693.1,7792.02,7606,7774.62,65441.33958
4/28/2020,7773.51,7780,7659.12,7738.98,46302.75264
4/29/2020,7738.58,8952.89,7710.05,8778.57,183546.8875
4/30/2020,8778.58,9460,8401,8620,206277.2141
5/1/2020,8620,9059.18,8613.56,8826.96,91468.81506
5/2/2020,8825.67,9010,8753,8972.05,59002.08755
5/3/2020,8972.58,9200,8712,8894.16,90126.06564
5/4/2020,8894.15,8950,8522,8871.96,84418.51233
5/5/2020,8871.92,9118.58,8760,9021.83,76480.76534
5/6/2020,9021.36,9395,8906.21,9142.92,105925.3024
5/7/2020,9143.4,10067,9021,9986.4,147154.6114
5/8/2020,9986.3,10035.96,9705,9800.01,100683.7964
5/9/2020,9800.02,9914.25,9520,9539.4,81950.67957
5/10/2020,9539.1,9574.83,8117,8722.77,183865.182
5/11/2020,8722.77,9168,8200,8561.52,168807.2518
5/12/2020,8562.04,8978.26,8528.78,8810.79,86522.78007
5/13/2020,8810.99,9398,8792.99,9309.37,92466.27402
5/14/2020,9309.35,9939,9256.76,9791.98,129565.3775
5/15/2020,9791.97,9845.62,9150,9316.42,115890.7615
5/16/2020,9315.96,9588,9220,9381.27,59587.62786
5/17/2020,9380.81,9888,9322.1,9680.04,68647.76432
5/18/2020,9681.11,9950,9464.23,9733.93,82006.60358
5/19/2020,9733.93,9897.21,9474,9775.53,78539.76045
5/20/2020,9775.13,9842,9326,9511.43,74923.73809
5/21/2020,9511.43,9578.47,8815,9068.65,108928.781
5/22/2020,9067.51,9271,8933.52,9170,58943.13102
5/23/2020,9170,9307.85,9070,9179.15,43526.29697
5/24/2020,9179.01,9298,8700,8720.34,70379.86645
5/25/2020,8718.14,8979.66,8642.72,8900.35,62833.91095
5/26/2020,8900.35,9017.67,8700,8841.18,58299.77014
5/27/2020,8841,9225,8811.73,9204.07,68910.35551
5/28/2020,9204.07,9625.47,9110,9575.89,74110.78766
5/29/2020,9575.87,9605.26,9330,9427.07,57374.36296
5/30/2020,9426.6,9740,9331.23,9697.72,55665.27254
5/31/2020,9697.72,9700,9381.41,9448.27,48333.7864
6/1/2020,9448.27,10380,9421.67,10200.77,76649.12696
6/2/2020,10202.71,10228.99,9266,9518.04,108970.7732
6/3/2020,9518.02,9690,9365.21,9666.24,46252.64494
6/4/2020,9666.32,9881.63,9450,9789.06,57456.10097
6/5/2020,9788.14,9854.75,9581,9621.16,47788.05005
6/6/2020,9621.17,9735,9531.05,9666.3,32752.95089
6/7/2020,9666.85,9802,9372.46,9746.99,57952.84839
6/8/2020,9746.99,9800,9633,9782.01,40664.66413
6/9/2020,9782,9877,9570,9772.43,46024.00129
6/10/2020,9772.44,9992.72,9704.18,9885,47130.76298
6/11/2020,9885.22,9964,9113,9280.4,94418.98473
6/12/2020,9278.88,9557.12,9232.51,9465.13,50119.06693
6/13/2020,9464.96,9494.73,9351,9473.34,27759.78485
6/14/2020,9473.34,9480.99,9245,9342.1,30055.50661
6/15/2020,9342.1,9495,8910.45,9426.02,86107.92471
6/16/2020,9426.05,9589,9373.09,9525.59,52052.44693
6/17/2020,9526.97,9565,9236.61,9465.14,48046.41115
6/18/2020,9465.13,9489,9280,9386.32,37381.95377
6/19/2020,9386.32,9438.3,9215.79,9310.23,45330.98367
6/20/2020,9310.23,9395,9170.95,9358.95,30329.06538
6/21/2020,9358.95,9422,9281.54,9294.69,24316.92623
6/22/2020,9294.69,9780,9277.09,9685.69,57895.46834
6/23/2020,9685.69,9720,9577.03,9624.89,41031.02938
